codigo,data_ultima_limpeza,historico
CARRINHO*-2516414493708,2025-06-13,LIMPEZA
CARRINHO*-2516414493789,2025-06-13,LIMPEZA
CARRINHO*-2516414494000,2025-06-13,LIMPEZA
CARRINHO*-2516414493813,2025-06-13,LIMPEZA
CARRINHO*-2516414493894,2025-06-13,LIMPEZA
CARRINHO*-2516414493895,2025-06-13,LIMPEZA
CARRINHO*-2516414493918,2025-06-13,LIMPEZA
CARRINHO*-2516414494023,2025-06-13,LIMPEZA
CARRINHO*-2516414494106,2025-06-13,LIMPEZA
CARRINHO*-2516414494128,2025-06-13,LIMPEZA
CARRINHO*-2516414494211,2025-06-13,LIMPEZA
CARRINHO*-2516414494210,2025-06-24,LIMPEZA
CARRINHO*-2516414494233,2025-06-24,TROCA DO PARAFUSO(PARAFUSO TORTO)
CARRINHO*-2516414494316,2025-06-24,LIMPEZA
CARRINHO*-2516414494338,2025-06-24,LIMPEZA
CARRINHO*-2516414494443,2025-06-24,LIMPEZA
CARRINHO*-2516414494528,2025-06-24,LIMPEZA
CARRINHO*-2516414494529,2025-06-24,LIMPEZA
CARRINHO*-2516414494547,2025-06-24,LIMPEZA
CARRINHO*-2516414494635,2025-06-24,LIMPEZA
CARRINHO*-2516414494653,2025-06-24,LIMPEZA
CARRINHO*-2516414494741,2025-06-24,LIMPEZA
CARRINHO*-2516414494742,2025-06-24,LIMPEZA
CARRINHO*-2516414494761,2025-06-24,LIMPEZA
CARRINHO*-2516414494847,2025-06-24,LIMPEZA
CARRINHO*-2516414494848,2025-06-24,LIMPEZA
CARRINHO*-2516414494866,2025-06-24,LIMPEZA
CARRINHO*-2516414494953,2025-06-24,LIMPEZA
CARRINHO*-2516414494973,2025-06-24,LIMPEZA
CARRINHO*-2517910093123,2025-06-19,LIMPEZA
CARRINHO*-2517910093438,2025-06-19,LIMPEZA
CARRINHO*-2517910093333,2025-06-19,LIMPEZA
CARRINHO*-2517910093228,2025-06-19,LIMPEZA
CARRINHO*-2517910093018,2025-06-19,LIMPEZA
CARRINHO*-2517910092914,2025-06-19,LIMPEZA
CARRINHO*-2517910092808,2025-06-19,LIMPEZA
CARRINHO*-2517910092702,2025-06-19,LIMPEZA
CARRINHO*-2517910092598,2025-06-19,LIMPEZA
CARRINHO*-2517910092493,2025-06-19,TROCA DO PARAFUSO(PARAFUSO TORTO)
CARRINHO*-2517910092283,2025-06-19,LIMPEZA
CARRINHO*-2517910092388,2025-06-19,LIMPEZA
CARRINHO*-2517910092178,2025-06-19,LIMPEZA
CARRINHO*-2517910092072,2025-06-19,LIMPEZA
CARRINHO*-2517910091966,2025-06-19,LIMPEZA
CARRINHO*-2517910091861,2025-06-19,LIMPEZA
CARRINHO*-2517910091756,2025-06-19,LIMPEZA
CARRINHO*-2517910091651,2025-06-19,LIMPEZA
CARRINHO*-2517910091545,2025-06-19,LIMPEZA
CARRINHO*-2517910091441,2025-06-19,LIMPEZA
CARRINHO*-2517910091336,2025-06-19,LIMPEZA
CARRINHO*-2517910091231,2025-06-19,LIMPEZA
CARRINHO*-2517910091126,2025-06-19,LIMPEZA
CARRINHO*-2517910091021,2025-06-19,LIMPEZACARRINHO

12345678910,2025-02-01,LIMPEZA
1234567891011,2025-01-31,
0987654321,2025-02-07,
0987654321,2009-09-09,limpeza
13102022,2009-09-09,limpeza
404040,2064-05-10,limpeza
1234567890,2025-10-10,
1234rfvbg,2024-03-10,
1234,2024-09-18,
1234,2024-02-19,
12345,2023-02-18,
CARRINHO1234567,2025-04-21,
abc,2006-02-17,
teste,2023-02-17,LIMPEZA
abcd,2025-05-17,LIMPEZA
qwer,2025-03-21,
teste2,2025-02-21,
teste3,2025-03-02,
teste4,2025-02-25,
teste5,2025-08-22,LIMPEZA
